ano;curso;Universidade;Estado;Posição;Pública ou Privada;Posição em avaliação do Mercado;Nota em avaliação do Mercado;Posição em qualidade de ensino;Nota em qualidade de ensino;Posição em Instrução dos Professores;Nota em Instrução dos Professores;Posição Nota dos concluintes;Nota dos concluintes;Posição Desistência;Nota Desistência;Posição em Tempo de Dedicação dos Professores;Nota em Tempo de Dedicação dos Professores;Posição no MEC;Nota no MEC;Posição em Professores com doutorado e mestrado;Nota em Professores com doutorado e mestrado;Posição em avaliação dos docentes;Nota em avaliação dos docentes
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Acre;AC;61;Federal;;;61;11.31;52;3.31;;;;;1;8;;;;;;
2019;zootecnia;Universidade Estadual de Alagoas;AL;62;Estadual;;;62;11.13;63;2.3;70;0.83;;;1;8;;;;;;
2019;zootecnia;Universidade Estadual do Piauí;PI;63;Estadual;;;63;10.88;59;2.67;76;0.21;;;1;8;;;;;;
2019;zootecnia;Faculdade de Ciências Sociais Aplicadas do Vale do São Lourenço;MT;64;Privada;;;64;10.85;57;2.85;;;;;1;8;;;;;;
2019;zootecnia;Centro Universitário Aparício Carvalho;RO;65;Privada;;;65;9.78;81;0.64;67;1.14;;;1;8;;;;;;
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;MG;66;Federal;;;66;9.75;69;1.75;;;;;1;8;;;;;;
2019;zootecnia;Instituto de Ensino Superior Múltiplo;MA;67;Privada;;;67;9.34;78;0.92;74;0.42;;;1;8;;;;;;
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia de Rondônia;RO;68;Federal;;;68;8.74;80;0.74;;;;;1;8;;;;;;
2019;zootecnia;Faculdade de Estudos Superiores de Minas Gerais;MG;69;Privada;;;69;8.73;55;3.03;25;5.51;;;85;0.19;;;;;;
2019;zootecnia;Centro Universitário de Patos de Minas;MG;70;Privada;;;70;8.61;72;1.47;12;6.86;;;84;0.28;;;;;;
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Piauí;PI;71;Federal;;;71;8.55;82;0.55;;;;;1;8;;;;;;
2019;zootecnia;Instituto Federal de Educação, Ciência e Tecnologia do Maranhão;MA;72;Federal;;;72;8.46;83;0.46;;;;;1;8;;;;;;
2019;zootecnia;Universidade Estadual de Mato Grosso do Sul;MS;73;Estadual;;;73;8.34;28;5.52;58;2.08;;;79;0.74;;;;;;
2019;zootecnia;Universidade Estadual Vale do Acaraú;CE;74;Estadual;;;74;8.31;44;4.05;46;3.33;;;77;0.93;;;;;;
2019;zootecnia;Faculdade da Amazônia;RO;75;Privada;;;75;8.19;87;0.09;77;0.1;;;1;8;;;;;;
2019;zootecnia;Universidade do Oeste de Santa Catarina;SC;76;Privada;;;76;8.11;76;1.1;24;5.61;;;72;1.4;;;;;;
2019;zootecnia;Universidade Federal Rural da Amazônia;PA;77;Federal;;;77;7.71;46;3.86;57;2.18;;;69;1.67;;;;;;
2019;zootecnia;Faculdades Associadas de Uberaba;MG;78;Privada;;;78;7.2;77;1.01;22;5.82;;;83;0.37;;;;;;
2019;zootecnia;Centro Universitário da Fundação Educacional de Barretos;SP;79;Privada;;;79;6.14;42;4.23;65;1.35;;;81;0.56;;;;;;
2019;zootecnia;Universidade Católica Dom Bosco;MS;80;Privada;;;80;5.62;67;1.93;55;2.39;;;73;1.3;;;;;;
2019;zootecnia;Universidade Estadual do Maranhão;MA;81;Estadual;;;81;4.92;71;1.56;60;1.87;;;71;1.49;;;;;;
2019;zootecnia;Faculdade Eduvale de Avaré;SP;82;Privada;;;82;4.42;50;3.49;;;;;77;0.93;;;;;;
2019;zootecnia;Centro Universitário Católica do Tocantins;TO;83;Privada;;;83;3.81;79;0.83;61;1.77;;;74;1.21;;;;;;
2019;zootecnia;Faculdades Integradas da Upis;DF;84;Privada;;;84;3.34;73;1.38;69;0.94;;;76;1.02;;;;;;
2019;zootecnia;Pontifícia Universidade Católica de Goiás;GO;85;Privada;;;85;2.98;74;1.29;68;1.04;;;80;0.65;;;;;;
2019;zootecnia;Centro Universitário do Vale do Araguaia;MT;86;Privada;;;86;1.29;84;0.37;71;0.73;;;85;0.19;;;;;;
2019;zootecnia;Universidade da Amazônia;PA;87;Privada;;;87;0.18;86;0.18;;;;;;;;;;;;
2024;zootecnia;Universidade Federal de Viçosa;MG;1;Federal;3;34.4;1;63.5;;;1;8;;;1;8;;;7;7.5;1;40
2024;zootecnia;Universidade Estadual Paulista Júlio de Mesquita Filho;SP;2;Estadual;1;36;2;60.88;;;36;5.05;;;1;8;;;3;7.83;1;40
2024;zootecnia;Universidade de São Paulo;SP;3;Estadual;1;36;4;58.63;;;36;5.05;;;1;8;;;1;8;3;37.58
2024;zootecnia;Universidade Federal de Minas Gerais;MG;4;Federal;3;34.4;6;56.54;;;9;7.33;;;1;8;;;24;6.06;5;35.15
2024;zootecnia;Universidade Federal de Santa Maria;RS;5;Federal;3;34.4;7;54.86;;;39;4.8;;;1;8;;;14;6.91;5;35.15
2024;zootecnia;Universidade Federal Rural do Rio de Janeiro;RJ;6;Federal;3;34.4;13;50.93;;;8;7.41;;;1;8;;;34;5.22;9;30.3
2024;zootecnia;Universidade Federal de Lavras;MG;7;Federal;14;25.6;3;59.43;;;3;7.83;;;1;8;;;10;7.24;4;36.36
2024;zootecnia;Universidade Federal do Rio Grande do Sul;RS;8;Federal;14;25.6;5;57.8;;;6;7.58;;;1;8;;;12;7.07;5;35.15
2024;zootecnia;Universidade Federal de Goiás;GO;9;Federal;14;25.6;8;52.78;;;15;6.82;;;1;8;;;5;7.66;9;30.3
